                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3874,                 1.9645,                 1.1253,                0.98598,                0.98797,                0.99427,                0.65873,                 1.2666,                0.54701,                 1.0565,               0.070023,              0.0033308,              0.0033308
                      1,                 1.2414,                0.75227,                 1.0766,                0.99595,                0.99704,                0.99497,                0.73786,                 1.0026,                0.42695,                0.97703,               0.039891,              0.0065322,              0.0065322
                      2,                 1.2398,                0.69951,                 1.0855,                0.99238,                0.99687,                0.99467,                0.73261,                 1.0383,                0.44214,                 0.9854,              0.0096267,              0.0096016,              0.0096016
                      3,                 1.2344,                0.66666,                 1.0789,                0.99551,                 0.9988,                0.99478,                0.79752,                0.81301,                 0.3676,                0.92079,               0.009406,               0.009406,               0.009406
                      4,                 1.2063,                0.61199,                 1.0671,                0.99657,                0.99801,                0.99486,                0.78353,                0.87453,                0.35979,                0.93295,               0.009406,               0.009406,               0.009406
                      5,                 1.1795,                0.57832,                 1.0525,                0.99835,                0.99934,                  0.995,                0.78995,                0.86439,                0.34232,                0.92369,               0.009208,               0.009208,               0.009208
                      6,                 1.1144,                0.54971,                 1.0261,                0.99803,                0.99987,                0.99499,                0.76895,                0.95225,                0.34204,                0.94273,                0.00901,                0.00901,                0.00901
                      7,                 1.0918,                0.53375,                 1.0192,                0.99836,                0.99959,                0.99496,                0.81824,                0.77629,                0.31069,                0.90431,               0.008812,               0.008812,               0.008812
                      8,                 1.0738,                0.51726,                  1.009,                0.99883,                0.99981,                  0.995,                0.79341,                0.87125,                0.32157,                0.92081,               0.008614,               0.008614,               0.008614
                      9,                 1.0594,                0.50565,                 1.0014,                0.99899,                0.99993,                  0.995,                0.81513,                 0.7985,                0.30393,                0.90338,               0.008416,               0.008416,               0.008416
                     10,                 1.0529,                  0.493,                0.99746,                0.99923,                      1,                  0.995,                0.81887,                0.79482,                  0.299,                0.89473,               0.008218,               0.008218,               0.008218
                     11,                 1.0447,                0.48616,                 0.9939,                0.99912,                      1,                  0.995,                0.83122,                0.74766,                0.28765,                0.88735,                0.00802,                0.00802,                0.00802
                     12,                 1.0411,                0.48118,                0.99283,                0.99925,                      1,                  0.995,                0.81926,                0.80419,                0.29127,                 0.8981,               0.007822,               0.007822,               0.007822
                     13,                 1.0343,                0.47703,                0.98948,                0.99918,                0.99991,                  0.995,                0.82847,                0.77003,                0.28945,                0.88472,               0.007624,               0.007624,               0.007624
                     14,                  1.024,                0.46695,                0.98484,                0.99927,                      1,                  0.995,                0.83097,                0.76811,                0.27849,                0.88685,               0.007426,               0.007426,               0.007426
                     15,                 1.0228,                0.45989,                0.98391,                0.99936,                0.99999,                  0.995,                 0.8298,                0.77548,                0.27908,                0.88833,               0.007228,               0.007228,               0.007228
                     16,                 1.0171,                0.45866,                0.98298,                0.99929,                0.99999,                  0.995,                0.83701,                 0.7483,                0.27654,                0.87938,                0.00703,                0.00703,                0.00703
                     17,                 1.0124,                0.45307,                 0.9791,                0.99927,                      1,                  0.995,                0.83849,                0.75032,                0.27422,                0.88024,               0.006832,               0.006832,               0.006832
                     18,                 1.0074,                0.44869,                0.97685,                0.99933,                      1,                  0.995,                0.83155,                0.77361,                0.27635,                 0.8849,               0.006634,               0.006634,               0.006634
                     19,                 1.0104,                0.44836,                0.97885,                0.99941,                      1,                  0.995,                0.83026,                 0.7798,                0.27531,                0.88505,               0.006436,               0.006436,               0.006436
                     20,                 1.0018,                0.44267,                 0.9756,                0.99929,                      1,                  0.995,                0.83729,                0.74829,                0.26999,                0.87865,               0.006238,               0.006238,               0.006238
                     21,                0.99722,                0.43866,                0.97404,                0.99937,                      1,                  0.995,                0.84258,                0.73855,                0.26667,                0.87694,                0.00604,                0.00604,                0.00604
                     22,                0.99528,                 0.4343,                0.97224,                0.99942,                      1,                  0.995,                  0.838,                0.75845,                0.26663,                0.88088,               0.005842,               0.005842,               0.005842
                     23,                0.99181,                0.43241,                0.97171,                0.99944,                      1,                  0.995,                0.84197,                 0.7403,                0.26541,                0.87649,               0.005644,               0.005644,               0.005644
                     24,                0.98746,                0.42807,                0.97001,                0.99942,                      1,                  0.995,                0.83926,                0.75043,                0.26526,                0.87565,               0.005446,               0.005446,               0.005446
                     25,                 0.9807,                0.42387,                0.96769,                0.99944,                      1,                  0.995,                0.83616,                0.75611,                0.26672,                0.87759,               0.005248,               0.005248,               0.005248
                     26,                0.97871,                0.42107,                 0.9665,                0.99945,                      1,                  0.995,                0.83418,                0.76762,                0.26824,                0.87932,                0.00505,                0.00505,                0.00505
                     27,                0.97588,                0.41731,                0.96601,                0.99936,                      1,                  0.995,                0.83643,                0.75971,                0.26536,                 0.8775,               0.004852,               0.004852,               0.004852
                     28,                0.97144,                0.41419,                0.96194,                0.99937,                      1,                  0.995,                0.82911,                0.78334,                 0.2684,                0.88014,               0.004654,               0.004654,               0.004654
                     29,                0.96956,                0.41065,                0.96043,                0.99937,                      1,                  0.995,                0.82564,                0.79705,                0.26999,                0.88452,               0.004456,               0.004456,               0.004456
                     30,                0.96074,                0.40601,                0.95786,                0.99938,                      1,                  0.995,                  0.829,                0.78469,                0.26575,                0.88112,               0.004258,               0.004258,               0.004258
                     31,                0.96514,                0.40543,                0.96123,                0.99936,                      1,                  0.995,                0.83002,                0.78187,                0.26286,                0.88085,                0.00406,                0.00406,                0.00406
                     32,                0.95625,                0.40218,                0.95762,                0.99936,                      1,                  0.995,                0.82598,                0.79574,                0.26606,                0.88525,               0.003862,               0.003862,               0.003862
                     33,                0.95063,                0.39661,                0.95694,                0.99939,                      1,                  0.995,                0.83002,                 0.7819,                0.26459,                0.88275,               0.003664,               0.003664,               0.003664
                     34,                 0.9472,                0.39439,                0.95415,                0.99939,                      1,                  0.995,                 0.8326,                0.77111,                0.26189,                0.88059,               0.003466,               0.003466,               0.003466
                     35,                0.94092,                0.39111,                0.95299,                0.99943,                      1,                  0.995,                0.83125,                0.77654,                0.26186,                0.88068,               0.003268,               0.003268,               0.003268
                     36,                0.93832,                0.38927,                0.95152,                0.99942,                      1,                  0.995,                 0.8289,                0.78852,                0.26419,                0.88277,                0.00307,                0.00307,                0.00307
                     37,                0.93237,                0.38279,                0.94931,                0.99942,                      1,                  0.995,                0.82593,                0.79961,                0.26624,                0.88475,               0.002872,               0.002872,               0.002872
                     38,                0.92871,                0.38241,                0.94624,                0.99945,                      1,                  0.995,                0.82165,                0.81548,                0.26963,                0.88727,               0.002674,               0.002674,               0.002674
                     39,                 0.9226,                0.37834,                0.94753,                0.99943,                      1,                  0.995,                0.81972,                0.82154,                0.27074,                0.88801,               0.002476,               0.002476,               0.002476
                     40,                0.91704,                0.37657,                0.94552,                0.99944,                      1,                  0.995,                0.81938,                0.82091,                0.27015,                0.88813,               0.002278,               0.002278,               0.002278
                     41,                0.91032,                0.37064,                 0.9434,                0.99943,                      1,                  0.995,                0.81708,                0.82822,                0.27143,                0.88986,                0.00208,                0.00208,                0.00208
                     42,                0.90606,                0.36873,                0.94199,                0.99944,                      1,                  0.995,                0.81558,                0.83215,                0.27147,                0.89102,               0.001882,               0.001882,               0.001882
                     43,                0.89562,                0.36433,                 0.9392,                0.99944,                      1,                  0.995,                0.81539,                0.83122,                0.27206,                 0.8913,               0.001684,               0.001684,               0.001684
                     44,                0.88693,                0.35925,                0.93688,                0.99943,                      1,                  0.995,                0.81502,                 0.8333,                0.27268,                0.89173,               0.001486,               0.001486,               0.001486
                     45,                0.87763,                0.35469,                0.93348,                0.99944,                      1,                  0.995,                0.81481,                0.83457,                0.27271,                 0.8921,               0.001288,               0.001288,               0.001288
                     46,                  0.878,                0.35502,                0.93236,                0.99945,                      1,                  0.995,                0.81312,                0.83893,                0.27326,                0.89322,                0.00109,                0.00109,                0.00109
                     47,                0.86357,                0.34919,                0.92922,                0.99946,                      1,                  0.995,                0.81314,                 0.8398,                0.27348,                0.89352,               0.000892,               0.000892,               0.000892
                     48,                0.85724,                0.34574,                0.92822,                0.99947,                      1,                  0.995,                 0.8126,                0.84062,                0.27354,                0.89384,               0.000694,               0.000694,               0.000694
                     49,                0.85271,                0.34331,                 0.9292,                0.99947,                      1,                  0.995,                0.81175,                 0.8425,                0.27383,                 0.8943,               0.000496,               0.000496,               0.000496
